ls_cost,ls_amount
7.04705e8,4.5
7.05706e8,4.5
7.06707e8,4.5
7.07708e8,4.5
7.08709e8,4.5
7.0971e8,4.5
7.10711e8,4.5
7.11712e8,4.5
7.12713e8,4.5
7.13714e8,4.5
7.14715e8,4.5
7.15716e8,4.5
7.16717e8,4.5
7.17718e8,4.5
7.18719e8,4.5
7.1972e8,4.5
7.20721e8,4.5
7.21722e8,4.5
7.22723e8,4.5
7.23724e8,4.5
7.24725e8,4.5
7.25726e8,4.5
7.26727e8,4.5
7.27728e8,4.5
7.28729e8,4.5
7.2973e8,4.5
7.30731e8,4.5
7.31732e8,4.5
7.32733e8,4.5
7.33734e8,4.5
7.34735e8,4.5
7.35736e8,4.5
7.36737e8,4.5
7.37738e8,4.5
7.38739e8,4.5
7.3974e8,4.5
7.40741e8,4.5
7.41742e8,4.5
7.42743e8,4.5
7.43744e8,4.5
7.44745e8,4.5
7.45746e8,4.5
7.46747e8,4.5
7.47748e8,4.5
7.48749e8,4.5
7.4975e8,4.5
7.50751e8,4.5
7.51752e8,4.5
7.52753e8,4.5
7.53754e8,4.5
7.54755e8,4.5
7.5575597e8,4.5
7.56757e8,4.5
7.57758e8,4.5
7.58759e8,4.5
7.5976e8,4.5
7.60761e8,4.5
7.61762e8,4.5
7.62763e8,4.5
7.63764e8,4.5
7.64765e8,4.5
7.65766e8,4.5
7.66767e8,4.5
7.67768e8,4.5
7.68769e8,4.5
7.6977e8,4.5
7.70771e8,4.5
7.71772e8,4.5
7.72773e8,4.5
7.73774e8,4.5
7.74775e8,4.5
7.75776e8,4.5
7.76777e8,4.5
7.77778e8,4.5
